Agency,Agency_Name,Borough,Location_Type,Street_Name,Complaint_Type,Descriptor,Incident_Zip
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,WATER STREET,DOOR/WINDOW,WINDOW FRAME,10002
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,11234
DOB,Department of Buildings,MANHATTAN,,WEST   80 STREET,Scaffold Safety,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,10024
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,11207
DOB,Department of Buildings,BROOKLYN,,CLASSON AVENUE,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11238
DOT,Department of Transportation,QUEENS,,GRAND CENTRAL PKWY,Street Light Condition,Lamppost Damaged,
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,6 AVENUE,PLUMBING,STEAM PIPE/RISER,11217
DOT,Department of Transportation,STATEN ISLAND,,,Traffic Signal Condition,Base Door,10314
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,11415
DOT,Department of Transportation,MANHATTAN,,EAST RIVER PARK,Street Light Condition,Multiple Street Lights Out,
DOB,Department of Buildings,BROOKLYN,,EAST   34 STREET,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,11210
DOB,Department of Buildings,BRONX,,FULTON AVENUE,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,10456
DSNY,Department of Sanitation,BROOKLYN,Comercial,86 STREET,Graffiti,Graffiti,11214
DSNY,Department of Sanitation,BROOKLYN,Comercial,86 STREET,Graffiti,Graffiti,11214
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11368
DOB,Department of Buildings,QUEENS,,MARENGO STREET,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11423
DOB,Department of Buildings,BRONX,,LINCOLN AVENUE,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),10454
DOB,Department of Buildings,BROOKLYN,,VAN SICLEN AVENUE,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11207
DOT,Department of Transportation,BRONX,,182 ST W,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,MORRIS AVENUE,ELECTRIC,OUTLET/SWITCH,10453
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Veh Signal Head,
DPR,Department of Parks and Recreation,BRONX,Park,,Maintenance or Facility,Grass/Weeds,10458
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,WEST  135 STREET,PLUMBING,BASIN/SINK,10030
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Lamppost Missing,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Lamppost Leaning,
DOT,Department of Transportation,MANHATTAN,,CENTRAL PARK,Street Light Condition,Lamppost Base Door/Cover Open,
DOT,Department of Transportation,QUEENS,,GRAND CENTRAL PKWY,Street Light Condition,Street Light Out,
DEP,Department of Environmental Protection,BRONX,,,Water System,Leak (Use Comments) (WA2),
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,261 STREET,ELECTRIC,OUTLET/SWITCH,11004
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,20 AVENUE,Graffiti,Graffiti,11204
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,CRESCENT STREET,UNSANITARY CONDITION,PESTS,11106
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,LINDEN BOULEVARD,PAINT/PLASTER,CEILING,11226
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DCA,Department of Consumer Affairs,Unspecified,,,DCA Literature Request,Paid Sick Leave Information Sheet for Employees - Spanish,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,
DSNY,Department of Sanitation,BROOKLYN,Residential,BAY   29 STREET,Graffiti,Graffiti,11214
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Cycling,11377
DOT,Department of Transportation,QUEENS,,FLUSHING MEADOWS PARK,Street Light Condition,Street Light Cycling,
DOB,Department of Buildings,BROOKLYN,,PRESIDENT STREET,Special Enforcement,SEP - Professional Certification Compliance Audit,11213
DEP,Department of Environmental Protection,QUEENS,,,Water System,Leak (Use Comments) (WA2),11366
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,7 AVENUE,Graffiti,Graffiti,11220
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Pedestrian Signal,11434
DOT,Department of Transportation,STATEN ISLAND,,,Traffic Signal Condition,Veh Signal Lamp,10312
DOB,Department of Buildings,QUEENS,,164 STREET,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",11433
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,LEXINGTON AVENUE,GENERAL,CABINET,10029
DOT,Department of Transportation,QUEENS,,KESSEL STREET,Street Light Condition,Street Light Out,11375
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11229
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,CYPRESS AVENUE,GENERAL,MAILBOX,10454
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,LEXINGTON AVENUE,PAINT/PLASTER,WALL,10029
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11106
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11365
DOB,Department of Buildings,MANHATTAN,,EAST  105 STREET,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,10029
DOB,Department of Buildings,QUEENS,,37 STREET,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11101
DSNY,P - Brooklyn and Staten Island,STATEN ISLAND,Sidewalk,AVENUE B,Dirty Conditions,E12 Illegal Dumping Surveillance,10302
DOB,Department of Buildings,BROOKLYN,,KINGS HIGHWAY,Special Enforcement,SEP - Professional Certification Compliance Audit,11234
DEP,Department of Environmental Protection,MANHATTAN,,EAST   57 STREET,Noise,Noise: Construction Before/After Hours (NM1),10022
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11105
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11365
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,ROCKAWAY PARKWAY,PLUMBING,BATHTUB/SHOWER,11212
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,EAST  105 STREET,DOOR/WINDOW,WINDOW FRAME,10029
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,11220
DEP,Department of Environmental Protection,BRONX,,CO-OP CITY BOULEVARD,Noise,"Noise, Ice Cream Truck (NR4)",10475
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,11106
DOT,Department of Transportation,QUEENS,,165 STREET,Street Light Condition,Street Light Out,11358
DOT,Department of Transportation,BRONX,,BAINBRIDGE AVENUE,Street Light Condition,Street Light Out,10467
DOT,Department of Transportation,QUEENS,,107 AVENUE,Street Light Condition,Street Light Cycling,11433
DSNY,Department of Sanitation,MANHATTAN,Comercial,5 AVENUE,Graffiti,Graffiti,10036
DEP,Department of Environmental Protection,MANHATTAN,,,Water System,Hydrant Defective (WC2),10035
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11419
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,NORTH    8 STREET,HEAT/HOT WATER,ENTIRE BUILDING,11211
DOB,Department of Buildings,BROOKLYN,,12 STREET,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,11215
DSNY,Department of Sanitation,QUEENS,,beach 84 st,Graffiti,Graffiti,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,BRONX PARK,Street Light Condition,Street Light Out,
DOF,Correspondence Unit,MANHATTAN,Property Address,,DOF Property - Payment Issue,Other Billing Issue,10030
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,LED Lense,
DOF,Correspondence Unit,QUEENS,Property Address,,DOF Property - Payment Issue,Other Billing Issue,11370
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DEP,Department of Environmental Protection,QUEENS,,60 AVENUE,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11362
DOB,Department of Buildings,STATEN ISLAND,,FOREST AVENUE,General Construction/Plumbing,Site Conditions Endangering Workers,10303
CHALL,CHALL,Unspecified,,,Opinion for the Mayor,HOMELESS,
DOT,Department of Transportation,BROOKLYN,,,Street Condition,Pothole,11235
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,54 STREET,Graffiti,Graffiti,11204
DEP,Department of Environmental Protection,MANHATTAN,,HARLEM RIVER DRIVE,Noise,Noise: Construction Before/After Hours (NM1),10039
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,WEST  125 STREET,DOOR/WINDOW,WINDOW FRAME,10027
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,DAVIDSON AVENUE,APPLIANCE,ELECTRIC/GAS RANGE,10453
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,106 AVENUE,PAINT/PLASTER,CEILING,11435
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,EAST  212 STREET,ELECTRIC,NO LIGHTING,10467
DCA,Department of Consumer Affairs,MANHATTAN,,FASHION AVENUE,Consumer Complaint,False Advertising,10018
DSNY,Department of Sanitation,MANHATTAN,Comercial,BROADWAY,Graffiti,Graffiti,10031
DOB,Department of Buildings,MANHATTAN,,WEST   70 STREET,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,10023
DOB,Department of Buildings,MANHATTAN,,WEST  116 STREET,Boilers,Boiler - Defective/Inoperative/No Permit,10026
DOB,Department of Buildings,MANHATTAN,,CLAREMONT AVENUE,Boilers,Boiler - Defective/Inoperative/No Permit,10027
DOB,Department of Buildings,QUEENS,,163 STREET,Boilers,Boiler - Defective/Inoperative/No Permit,11432
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,WEST  125 STREET,DOOR/WINDOW,DOOR,10027
DPR,DPR,Unspecified,,,Agency Issues,New Tree Complaint,
DPR,Department of Parks and Recreation,BRONX,Street,CROSBY AVENUE,Dead/Dying Tree,Planted More Than 2 Years Ago,10461
DOB,Department of Buildings,BROOKLYN,,HANCOCK STREET,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",11221
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Cable,
TLC,Taxi and Limousine Commission,MANHATTAN,,EAST  125 STREET,Taxi Complaint,Driver Complaint,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOB,Department of Buildings,BRONX,,EAST  168 STREET,Elevator,Elevator - Defective/Not Working,10452
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,11201
DOT,Department of Transportation,QUEENS,,COLLEGE POINT BLVD,Street Light Condition,Multiple Street Lights Out,
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,BAY PARKWAY,PLUMBING,BASIN/SINK,11204
DOB,Department of Buildings,BROOKLYN,,CLARKSON AVENUE,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,11203
DOB,Department of Buildings,BROOKLYN,,WEST   19 STREET,Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,11224
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,LED Lense,10019
DOB,Department of Buildings,BROOKLYN,,BERKLEY PLACE,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,11217
DOB,Department of Buildings,BROOKLYN,,BROADWAY,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,11207
DOB,Department of Buildings,BROOKLYN,,QUINCY STREET,Boilers,Boiler - Defective/Inoperative/No Permit,11221
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,LED Pedestrian Unit,11216
DEP,Department of Environmental Protection,MANHATTAN,,WEST END AVENUE,Noise,Noise: Construction Before/After Hours (NM1),10023
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Dayburning,
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,EAST   98 STREET,UNSANITARY CONDITION,MOLD,11236
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,PERRY STREET,PLUMBING,TOILET,10014
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOB,Department of Buildings,BROOKLYN,,CHURCH AVENUE,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11203
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,11201
DOB,Department of Buildings,MANHATTAN,,WEST  138 STREET,Electrical,Electrical Wiring Defective/Exposed,10030
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,11105
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,10472
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,New Con Ed Service Request,
DOT,Department of Transportation,BROOKLYN,,PROSPECT PARK,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,11237
HPD,Department of Housing Preservation and Development,STATEN ISLAND,RESIDENTIAL BUILDING,CRESCENT AVENUE,PLUMBING,BASIN/SINK,10301
DOB,Department of Buildings,QUEENS,,143 STREET,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11436
DEP,Department of Environmental Protection,QUEENS,,UNION TURNPIKE,Noise,Noise: Alarms (NR3),11366
DOB,Department of Buildings,QUEENS,,51 AVENUE,General Construction/Plumbing,Failure To Maintain,11373
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Pedestrian Signal,11372
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Junction Box,11101
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,GREENWICH AVENUE,GENERAL,COOKING GAS,10011
DOT,Department of Transportation,BRONX,,HUTCH RVR PKWY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,CARPENTER AVENUE,Street Light Condition,Street Light Out,10470
DOB,Department of Buildings,BROOKLYN,,GRAHAM AVENUE,General Construction/Plumbing,Safety Netting/Guard Rails - Damaged/Inadequate/None (6 Stories/75 Feet Or Less),11211
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,WEST  111 STREET,Graffiti,Graffiti,10026
DOT,Department of Transportation,BRONX,,,Street Light Condition,New Con Ed Service Request,
DOB,Department of Buildings,MANHATTAN,,PECK SLIP,Electrical,Electrical Wiring Defective/Exposed,10038
DOB,Department of Buildings,MANHATTAN,,WEST   51 STREET,Electrical,Electrical Wiring Defective/Exposed,10019
DSNY,Department of Sanitation,MANHATTAN,Residential,FORT WASHINGTON AVENUE,Graffiti,Graffiti,10032
DOB,Department of Buildings,QUEENS,,120 STREET,Special Enforcement,SEP - Professional Certification Compliance Audit,11356
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Pedestrian Signal,
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,ADAM C POWELL BOULEVARD,WATER LEAK,HEAVY FLOW,10027
DEP,Department of Environmental Protection,MANHATTAN,,,Noise,Noise: Construction Before/After Hours (NM1),10019
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOB,Department of Buildings,QUEENS,,BEACH   98 STREET,Elevator,Elevator - Defective/Not Working,11694
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOHMH,Department of Health and Mental Hygiene,STATEN ISLAND,Restaurant/Bar/Deli/Bakery,RICHMOND AVENUE,Food Establishment,Food Contains Foreign Object,10314
CHALL,CHALL,Unspecified,,,Opinion for the Mayor,HOMELESS,
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,CLAREMONT AVENUE,PAINT/PLASTER,WALL,10027
DPR,DPR,Unspecified,,,Agency Issues,New Tree Complaint,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,Curb,WEST 205 STREET,Curb Condition,Defacement,10034
DPR,Department of Parks and Recreation,BROOKLYN,,DEAN STREET,Damaged Tree,Branch or Limb Has Fallen Down,11217
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,46 AVENUE,ELECTRIC,NO LIGHTING,11368
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,TAYLOR AVENUE,PAINT/PLASTER,CEILING,10460
DOT,Department of Transportation,MANHATTAN,,BROADWAY,Street Light Condition,Lamppost Base Door/Cover Open,10023
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Post,11208
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller Cabinet,
DOB,Department of Buildings,QUEENS,,84 STREET,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11414
DSNY,Department of Sanitation,BRONX,Comercial,WESTCHESTER AVENUE,Graffiti,Graffiti,10472
DOB,Department of Buildings,QUEENS,,BEACH   98 STREET,Elevator,Elevator - Defective/Not Working,11694
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,44 STREET,Street Light Condition,Flood Light Lamp Missing,11232
DSNY,A - Brooklyn,BROOKLYN,Lot,GAIN COURT,Dirty Conditions,E3A Dirty Area/Alleyway,11229
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,11238
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DSNY,DSNY,Unspecified,,,Agency Issues,Language Access Complaint,
DPR,DPR,Unspecified,,,Agency Issues,New Tree Complaint,
DPR,DPR,Unspecified,,,Agency Issues,New Tree Complaint,
DPR,Department of Parks and Recreation,QUEENS,Street,153 STREET,Overgrown Tree/Branches,Hitting Building,11354
DOB,Department of Buildings,MANHATTAN,,WEST   96 STREET,Elevator,Elevator - Defective/Not Working,10025
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Base Door,10462
DOT,Department of Transportation,MANHATTAN,,BEDFORD STREET,Street Light Condition,Street Light Out,10014
DSNY,P - Queens,QUEENS,Sidewalk,98 STREET,Dirty Conditions,E12 Illegal Dumping Surveillance,11417
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,11225
DEP,Department of Environmental Protection,MANHATTAN,,HAMILTON PLACE,Noise,Noise: Alarms (NR3),10031
DOT,Department of Transportation,MANHATTAN,,5 AVENUE,Street Light Condition,Street Light Out,10011
DOT,Department of Transportation,QUEENS,,102 STREET,Street Light Condition,Street Light Out,11368
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,AUDUBON AVENUE,DOOR/WINDOW,WINDOW FRAME,10033
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,10460
DOT,Department of Transportation,MANHATTAN,,150 ST W,Street Light Condition,Street Light Out,
DOB,Department of Buildings,QUEENS,,BEACH   98 STREET,Elevator,Elevator - Defective/Not Working,11694
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,EAST  206 STREET,APPLIANCE,ELECTRIC/GAS RANGE,10458
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,NEPTUNE AVENUE,DOOR/WINDOW,DOOR,11235
DOT,Department of Transportation,STATEN ISLAND,,,Traffic Signal Condition,Veh Signal Lamp,10312
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Defective/Missing Curb Piece (SC4),11434
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,WILLETT AVENUE,HEAT/HOT WATER,ENTIRE BUILDING,10467
DOB,Department of Buildings,BROOKLYN,,MIDDLETON STREET,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11206
DSNY,BCC - Brooklyn North,BROOKLYN,Street,,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11208
DSNY,A - Staten Island,STATEN ISLAND,Lot,VICTORY BOULEVARD,Dirty Conditions,E3A Dirty Area/Alleyway,10301
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,FLATBUSH AVENUE,Graffiti,Graffiti,11226
DOT,Department of Transportation,STATEN ISLAND,,,Traffic Signal Condition,Controller,10314
DOB,Department of Buildings,QUEENS,,BEACH   98 STREET,Elevator,Elevator - Defective/Not Working,11694
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,EAST  189 STREET,DOOR/WINDOW,WINDOW FRAME,10458
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,10459
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,EAST   56 STREET,PLUMBING,WATER SUPPLY,11203
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,BARNES AVENUE,APPLIANCE,REFRIGERATOR,10462
DEP,Department of Environmental Protection,QUEENS,,FLUSHING MEADOW PARK,Water System,Hydrant Running (WC3),
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,WEST   97 STREET,PLUMBING,WATER SUPPLY,10025
DSNY,Department of Sanitation,BROOKLYN,,AVENUE N,Graffiti,Graffiti,11234
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DEP,Department of Environmental Protection,BRONX,,,Noise,"Noise, Ice Cream Truck (NR4)",10451
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,BROOK AVENUE,DOOR/WINDOW,WINDOW FRAME,10455
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,BARNES AVENUE,DOOR/WINDOW,WINDOW FRAME,10462
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,GRAND CONCOURSE,UNSANITARY CONDITION,PESTS,10456
DOB,Department of Buildings,QUEENS,,WOODHULL AVENUE,General Construction/Plumbing,Working Contrary To Stop Work Order,11423
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,11354
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,11417
DSNY,Bronx 11,BRONX,Street,VAN NEST AVENUE,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,10460
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,PALMETTO STREET,DOOR/WINDOW,WINDOW FRAME,11385
DOB,Department of Buildings,BRONX,,HAIGHT AVENUE,Elevator,Elevator - Defective/Not Working,10461
DOB,Department of Buildings,BROOKLYN,,KINGS HIGHWAY,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,11223
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,FT WASHINGTON AVENUE,FLOORING/STAIRS,FLOOR,10032
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,WEST   21 STREET,FLOORING/STAIRS,FLOOR,10011
DOT,Department of Transportation,QUEENS,,116 STREET,Street Light Condition,Street Light Out,11418
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,86 AVENUE,DOOR/WINDOW,WINDOW FRAME,11418
HPD,Department of Housing Preservation and Development,QUEENS,RESIDENTIAL BUILDING,86 AVENUE,DOOR/WINDOW,WINDOW PANE,11418
DOT,Department of Transportation,BROOKLYN,,AVENUE M,Street Condition,Pothole,11230
HPD,Department of Housing Preservation and Development,MANHATTAN,RESIDENTIAL BUILDING,WEST   97 STREET,PLUMBING,WATER SUPPLY,10025
DSNY,BCC - Brooklyn North,BROOKLYN,Sidewalk,METROPOLITAN AVENUE,Missed Collection (All Materials),1RB Missed Recycling - M/G/Pl,11249
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,PARKSIDE AVENUE,UNSANITARY CONDITION,MOLD,11226
HPD,Department of Housing Preservation and Development,BROOKLYN,RESIDENTIAL BUILDING,WESTBURY COURT,ELEVATOR,MAINTENANCE,11225
HPD,Department of Housing Preservation and Development,BRONX,RESIDENTIAL BUILDING,WHITE PLAINS ROAD,PLUMBING,WATER SUPPLY,10470
DOT,Department of Transportation,BROOKLYN,,47 STREET,Street Light Condition,Street Light Out,11220
DSNY,Lot Cleaning,BROOKLYN,Lot,WEST    5 STREET,Vacant Lot,8 Request to Clean Vacant Lot,11204
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11361
DOT,Department of Transportation,MANHATTAN,,PARK ROW,Street Condition,Pothole,10038
DSNY,BCC - Queens West,QUEENS,Sidewalk,60 STREET,Sanitation Condition,12 Dead Animals,11385
DSNY,BCC - Brooklyn North,BROOKLYN,Street,,Derelict Vehicles,14 Derelict Vehicles,11208
DSNY,Queens East 12,QUEENS,Street,,Derelict Vehicles,14 Derelict Vehicles,11434
DEP,Department of Environmental Protection,MANHATTAN,,WEST  138 STREET,Sewer,Manhole Cover Broken/Making Noise (SB),10031
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Multiple Street Lights Out,11375
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,11103
DSNY,BCC - Queens East,QUEENS,Sidewalk,145 AVENUE,Sanitation Condition,12 Dead Animals,11434
DSNY,BCC - Brooklyn South,BROOKLYN,Sidewalk,54 STREET,Missed Collection (All Materials),2 Bulk-Missed Collection,11219
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,119 ST W,Street Light Condition,Street Light Out,
DOB,Department of Buildings,BRONX,,ALLERTON AVENUE,Special Enforcement,SEP - Professional Certification Compliance Audit,10467
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,GATES AVENUE,Graffiti,Graffiti,11221
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Pedestrian Signal,
DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",STATEN ISLAND,Sidewalk,,Dirty Conditions,E15 Illegal Postering,10314
DSNY,A - Staten Island,STATEN ISLAND,Sidewalk,,Dirty Conditions,E3 Dirty Sidewalk,10309
DEP,Department of Environmental Protection,QUEENS,,QUEENS BOULEVARD,Noise,Noise: air condition/ventilation equipment (NV1),11375
